,,0,,1,,2,,3,,4,,5
,"t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C"
,418.5,27.025,418.5,21.933,418.5,29.9,418.5,29.35,418.5,22.732,418.5,18.668
,421.5,26.9,421.5,21.907,421.5,29.825,421.5,29.45,421.5,22.784,421.5,18.614
,424.5,26.775,424.5,21.907,424.5,29.7,424.5,29.55,424.5,22.835,424.5,18.56
,427.5,26.65,427.5,22.01,427.5,29.525,427.5,29.575,427.5,22.887,427.5,18.533
,430.5,26.55,430.5,22.165,430.5,29.3,430.5,29.625,430.5,22.912,430.5,18.505
,433.5,26.45,433.5,22.242,433.5,29.05,433.5,29.625,433.5,22.99,433.5,18.505
,436.5,26.35,436.5,22.217,436.5,28.8,436.5,29.6,436.5,23.041,436.5,18.505
,439.5,26.25,439.5,22.165,439.5,28.5,439.5,29.6,439.5,23.119,439.5,18.533
,442.5,26.2,442.5,22.113,442.5,28.175,442.5,29.575,442.5,23.17,442.5,18.56
,445.5,26.125,445.5,22.036,445.5,27.85,445.5,29.525,445.5,23.222,445.5,18.587
,448.5,26.05,448.5,21.907,448.5,27.5,448.5,29.475,448.5,23.247,448.5,18.641
,451.5,25.975,451.5,21.804,451.5,27.125,451.5,29.4,451.5,23.299,451.5,18.668
,454.5,25.95,454.5,21.727,454.5,26.725,454.5,29.35,454.5,23.351,454.5,18.723
,457.5,25.9,457.5,21.624,457.5,26.3,457.5,29.275,457.5,23.402,457.5,18.75
,460.5,25.85,460.5,21.598,460.5,25.9,460.5,29.225,460.5,23.454,460.5,18.804
,463.5,25.8,463.5,21.572,463.5,25.525,463.5,29.175,463.5,23.479,463.5,18.832
,466.5,25.725,466.5,21.546,466.5,25.125,466.5,29.1,466.5,23.531,466.5,18.886
,469.5,25.7,469.5,21.521,469.5,24.768,469.5,29.05,469.5,23.557,469.5,18.913
,472.5,25.65,472.5,21.443,472.5,24.459,472.5,28.95,472.5,23.583,472.5,18.94
,475.5,25.6,475.5,21.314,475.5,24.253,475.5,28.85,475.5,23.608,475.5,18.967
,478.5,25.575,478.5,21.134,478.5,24.253,478.5,28.675,478.5,23.634,478.5,18.995
,481.5,25.5,481.5,20.954,481.5,24.201,481.5,28.5,481.5,23.634,481.5,19.022
,484.5,25.425,484.5,20.773,484.5,24.124,484.5,28.275,484.5,23.66,484.5,19.022
,487.5,25.375,487.5,20.593,487.5,24.046,487.5,28.075,487.5,23.66,487.5,19.022
,490.5,25.35,490.5,20.412,490.5,23.943,490.5,27.875,490.5,23.686,490.5,19.022
,493.5,25.3,493.5,20.232,493.5,23.866,493.5,27.675,493.5,23.66,493.5,19.049
,496.5,25.275,496.5,20.052,496.5,23.814,496.5,27.5,496.5,23.686,496.5,19.076
,499.5,25.25,499.5,19.864,499.5,23.737,499.5,27.325,499.5,23.686,499.5,19.103
,502.5,25.225,502.5,19.701,502.5,23.686,502.5,27.15,502.5,23.711,502.5,19.158
